name,label,hasInferentialContent,type,isInferenceOfFrame,hasInferenceType
Inference_468,['impediments can negatively affect...'],"[""impediments can negatively affect mover's motion (e.g. slow or stop motion and/or increase energy needed for mover to move).""]","['NamedIndividual', 'Inference', 'Inference']",['Frame_Impediment_to_motion'],
Inference_87,"['When one is healthy, one is not...']","['When one is healthy', 'one is not sick; when one is sick one is not healthy.']","['NamedIndividual', 'Inference', 'Inference']",,['If p then not q; if q then not p']
Inference_398,['Resisting destabilizing force'],['Resisting destabilizing force'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Verticality'],
Inference_434,['Being upright'],['Being upright'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Verticality'],
Inference_61,['In order to be able to evaluate...'],"[""In order to be able to evaluate an evaluee's behavior"", 'the evaluator needs to be able to know what the evaluee is doing.']","['NamedIndividual', 'Inference', 'Inference']",,['precondition']
Inference_253,"['initially, controlling_entity is...']","['controlling_entity is not in control', 'initially']","['NamedIndividual', 'Inference', 'Inference']",['Frame_Control'],
Inference_108,"[""The mover's mass affects the speed...""]","['more energy is required.', ""The mover's mass affects the speed of motion and/or the amount of energy needed for mover to move.  For instance"", ""if mass is increased (e.g. if 'burdens' are added)""]","['NamedIndividual', 'Inference', 'Inference']",,
Inference_413,['The government acts so as to bring...'],"['The government acts so as to bring about desired states of the governed (e.g. populace', 'nation)']","['NamedIndividual', 'Inference', 'Inference']",['Frame_Governing_action'],
Inference_456,['Constructing or structuring complex...'],['Constructing or structuring complex objects'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Object'],
Inference_598,['smaller sizes'],['smaller sizes'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Size'],
Inference_473,['Gaining knowledge'],['Gaining knowledge'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Knowing'],
Inference_606,['Vehicle encountering obstacles'],['Vehicle encountering obstacles'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Vehicle'],
Inference_368,['change of spatial relation'],['change of spatial relation'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Spatial_relation'],
Inference_110,['Parents have (some degree of) control...'],"[""Parents have (some degree of) control over children's actions""]","['NamedIndividual', 'Inference', 'Inference']",,
Inference_653,['current state of nation'],['current state of nation'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Nation'],
Inference_276,"['at intitial stage, possessor does...']","['at intitial stage', 'possessor does not possess object']","['Inference', 'NamedIndividual', 'Inference']",['Frame_Gain_possession'],
Inference_71,"['To apply force, actor must be in...']","['actor must be in contact with acted_upon', 'To apply force']","['NamedIndividual', 'Inference', 'Inference']",,
Inference_538,['Being upright'],['Being upright'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Upright_posture'],
Inference_207,['the trajector is not at the la...'],['the trajector is not at the landmark'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Being_at_a_location'],
Inference_534,['being straight'],['being straight'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Straightness'],
Inference_208,['the actor does not perform an ...'],['the actor does not perform an action'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Action'],
Inference_492,['Seeing from a short distance'],['Seeing from a short distance'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Seeing'],
Inference_66,['The cause_of_fire causes fire to...'],['The cause_of_fire causes fire to the burning_object which will eventually alter the burning_object_condition from its canonical to consumed state.'],"['NamedIndividual', 'Inference', 'Inference']",,
Inference_130,['The closer an object gets to another...'],"['the smaller the distance between them becomes.', 'The closer an object gets to another object']","['NamedIndividual', 'Inference', 'Inference']",,
Inference_512,['speed of motion'],['speed of motion'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Self_propelled_motion'],
Inference_408,"[""Childcare provider's duties are...""]","[""Childcare provider's duties are to ensure the health"", 'safety', 'and well-being of the children.']","['NamedIndividual', 'Inference', 'Inference']",['Frame_Child_care'],
Inference_405,['the ability of the government to...'],['the ability of the government to fulfill its responsibilites depends on its functional status'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Government_institution'],
Inference_665,['amount of taxes is related to degree...'],['amount of taxes is related to degree to which taxpayer is affected'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Taxation'],
Inference_466,['Having a small size'],['Having a small size'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Size'],
Inference_479,"[""Knower's ability to know""]","[""Knower's ability to know""]","['NamedIndividual', 'Inference', 'Inference']",['Frame_Knowing'],
Inference_451,['Substantial ideas'],['Substantial ideas'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Idea'],
Inference_291,['state change can be caused by an...'],['state change can be caused by an external entity'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Change_of_state'],
Inference_551,['Fixing the problems of a natio...'],['Fixing the problems of a nation.'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Nation'],
Inference_210,"[""'closeness' to performing an a...""]","[""'closeness' to performing an action""]","['Inference', 'NamedIndividual', 'Inference']",['Frame_Action'],
Inference_667,['taxation is involuntary payment...'],['taxation is involuntary payment to government'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Taxation'],
Inference_419,['government has some degree of control...'],['government has some degree of control over the actions of the governed'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Government'],
Inference_515,['there are different means one can...'],['there are different means one can use to achieve a purpose'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Purposeful_action'],
Inference_535,['being moral'],['being moral'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Morality'],
Inference_9,"[""presence of the 'cause' results...""]","[""presence of the 'cause' results in some effect to the mover's motion that is different than if the 'cause' was not present""]","['NamedIndividual', 'Inference', 'Inference']",,
Inference_590,['amount of effort it takes to change...'],['amount of effort it takes to change location'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Self_propelled_motion_to_a_destination'],
Inference_450,['Meat'],['Meat'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Food'],
Inference_578,['Impediments to motion along a ...'],['Impediments to motion along a path'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Motion_along_a_path'],
Inference_474,['Aid to seeing'],['Aid to seeing'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Seeing'],
Inference_111,['Parents are responsible for taking...'],"['Parents are responsible for taking care of children (feeding', 'etc.)', 'housing', 'protecting from harm']","['Inference', 'NamedIndividual', 'Inference']",,
Inference_181,['When the obstructing object is...'],"['When the obstructing object is present', 'the seer cannot see the focal_object.']","['NamedIndividual', 'Inference', 'Inference']",,
Inference_531,['wasting money'],['wasting money'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Money'],
Inference_555,['Taking apart a nation'],['Taking apart a nation'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Nation'],
Inference_14,"[""The located_thing is 'in' a bounded...""]","[""The located_thing is 'in' a bounded entity when it is co-located with the interior of that entity""]","['Inference', 'NamedIndividual', 'Inference']",,['image schema']
Inference_282,"['at final stage, possessor does...']","['possessor does not possess object', 'at final stage']","['NamedIndividual', 'Inference', 'Inference']",['Frame_Lose_possession'],
Inference_395,"['""functional"" end of functional...']","['""functional"" end of functionality_scale']","['NamedIndividual', 'Inference', 'Inference']",['Frame_Functionality'],
Inference_442,['Nutritious foods'],['Nutritious foods'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Food'],
Inference_306,['Accepting objects'],['Accepting objects'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Transfer_scenario'],
Inference_583,['amount of progress'],['amount of progress'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Purposeful_action'],
Inference_596,['larger sizes'],['larger sizes'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Size'],
Inference_702,"['Decreasing wealth (loss, cost)']","['cost)', 'Decreasing wealth (loss']","['NamedIndividual', 'Inference', 'Inference']",['Frame_Wealth'],
Inference_135,['quantity values progressively increase...'],"[""quantity values progressively increase from one end of the scale ('bottom') to the other ('top').""]","['NamedIndividual', 'Inference', 'Inference']",,
Inference_490,['Showing'],['Showing'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Seeing'],
Inference_24,['Constructive actions cause an increase...'],['Constructive actions cause an increase in structural_integrity'],"['Inference', 'NamedIndividual', 'Inference']",,['cause scalar change']
Inference_261,['state/attribute standard is not...'],['state/attribute standard is not associated with entity'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Attribute'],
Inference_644,['connectors keep items together'],['connectors keep items together'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Physical_connection'],
Inference_269,['becoming less impoverished'],['becoming less impoverished'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Impoverished'],
Inference_22,['Some parts of the building (e.g....'],"['Some parts of the building (e.g. foundation', 'and the building may collapse.', 'it will not provide as much support', 'pillars hold up the roof). If a supporting part is damaged', 'pillars) support other parts of the building (e.g.']","['Inference', 'NamedIndividual', 'Inference']",,
Inference_608,['A boat on the rocks is immobilized...'],['A boat on the rocks is immobilized as a consequence of being on the rocks.'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Boat_on_the_rocks'],
Inference_23,['Destructive actions and/or processes...'],['Destructive actions and/or processes cause a decrease in structural_integrity'],"['Inference', 'NamedIndividual', 'Inference']",,['cause scalar change']
Inference_603,['lesser quantities'],['lesser quantities'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Quantity'],
Inference_338,['High point on a vertical scale'],['High point on a vertical scale'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Verticality'],
Inference_232,['sequence of movements'],['sequence of movements'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Action'],
Inference_523,['results of mental processes'],['results of mental processes'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Cognizing'],
Inference_177,"['In a two-person vehicle, the travellers...']","['the travellers are close.', 'In a two-person vehicle']","['Inference', 'NamedIndividual', 'Inference']",,
Inference_414,['a vehicle and its contents (driver...'],['a vehicle and its contents (driver and passengers) all move to the same locations'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Vehicular_motion'],
Inference_172,['DESERVING: Trusted uses power to...'],"['and Truster assesses whether Trusted deserves the benefit.', 'DESERVING: Trusted uses power to benefit Truster']","['NamedIndividual', 'Inference', 'Inference']",,
Inference_482,['Discovery'],['Discovery'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Seeing'],
Inference_158,['The different values for a given...'],"['The different values for a given state/property are (generally) mutually exclusive. E.g. something cannot simultaneously be big and small.  So', 'if a state_holder is associated with one property value', 'it implies that it is not also (simultaneously) associated with the other possible values.']","['Inference', 'NamedIndividual', 'Inference']",,
Inference_648,['people experience physical ail...'],['people experience physical ailments'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Person'],
Inference_170,['Truster benefits by a) getting...'],['Truster benefits by a) getting active benefits and b) not having to spend resources on self-protection.'],"['NamedIndividual', 'Inference', 'Inference']",,
Inference_45,['If the controlling_entity is exercising...'],"['he will adjust the parameters of the dependent_process such that these objectives are accomplished.', 'If the controlling_entity is exercising control to achieve some objectives']","['Inference', 'NamedIndividual', 'Inference']",,
Inference_381,['current experience is defined with...'],['current experience is defined with respect to a particular state value'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Experiencing_a_state'],
Inference_63,['A factory is a functional whole...'],"['each of which is dedicated to completing one piece of the final product produced by the factory as a whole.', 'A factory is a functional whole composed of interdependent homogenous parts']","['Inference', 'NamedIndividual', 'Inference']",,
Inference_265,['becoming impoverished'],['becoming impoverished'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Impoverished'],
Inference_333,['change in ability to control a...'],['change in ability to control a person or situation'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Control'],
Inference_556,['Machine breaking down'],['Machine breaking down'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Machine'],
Inference_527,['state of having no money'],['state of having no money'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Money'],
Inference_592,['mover stops moving when destination...'],['mover stops moving when destination (end of path) is reached'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Self_propelled_motion_to_a_destination'],
Inference_475,['Aid to knowing'],['Aid to knowing'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Knowing'],
Inference_411,['The citizens are not capable of...'],['The citizens are not capable of taking care of themselves without the help of the government'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Government'],
Inference_132,['Motion is required in order to...'],['Motion is required in order to increase or decrease proximity between two objects.'],"['NamedIndividual', 'Inference', 'Inference']",,
Inference_361,['Having mild or average emotion...'],['Having mild or average emotions'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Emotional_intensity'],
Inference_630,['processes that affect the strength...'],['processes that affect the strength of the fabric'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Textile'],
Inference_707,['amount of meaning'],['amount of meaning'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Word'],
Inference_639,['addressing a social problem should...'],"[""addressing a social problem should improve society's function""]","['NamedIndividual', 'Inference', 'Inference']",['Frame_Social_problems'],
Inference_305,['Success of communication'],['Success of communication'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Communication'],
Inference_307,['Accepting ideas'],['Accepting ideas'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Communication'],
Inference_565,['nullTargetEntailment'],['nullTargetEntailment'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Resource_consumption'],
Inference_604,['nullSourceInference'],['nullSourceInference'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Proximity'],
Inference_126,"['In primary physical experience,...']","['possession correlates with co-location of possessor and possessed object', 'the physical relation between Possessor and object indicates the status of the possession relation.  Holding and/or grasping (and', 'co-location with) the object indicate possession; not holding/grasping indicate lack of possession.  More generally', 'and lack of possession with lack of co-location (i.e. some distance between the two)', 'more generally', 'In primary physical experience']","['Inference', 'NamedIndividual', 'Inference']",,
Inference_441,['Good ideas'],['Good ideas'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Idea'],
Inference_295,"[""state can be changed by 'self'...""]","[""state can be changed by 'self'/experiencer""]","['Inference', 'NamedIndividual', 'Inference']",['Frame_Change_of_state'],
Inference_642,['extent of affliction'],['extent of affliction'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Physical_affliction'],
Inference_334,['gaining a possession'],['gaining a possession'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Possession'],
Inference_645,['relations keep the members (and...'],['relations keep the members (and group as a whole) together'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Social_group'],
Inference_580,['Cleansing'],['Cleansing'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Cleanliness'],
Inference_139,"[""If the resource is 'consumed' when...""]","['then the amount of resource will decrease during use', ""If the resource is 'consumed' when it is used""]","['NamedIndividual', 'Inference', 'Inference']",,['change in  quantity']
Inference_93,['The cause_of_insanity causes the...'],"[""The cause_of_insanity causes the insane_person's agitation_level to increase.  If the agitation_level increases beyond the insane_person's agitation_limit"", 'they will exhibit insane_behavior.']","['NamedIndividual', 'Inference', 'Inference']",,
Inference_252,"['initially, possessor does not possess...']","['possessor does not possess object', 'initially']","['NamedIndividual', 'Inference', 'Inference']",['Frame_Gain_possession'],
Inference_317,['Success of communication'],['Success of communication'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Communication'],
Inference_91,['unless measures are taken to stop...'],"['unless measures are taken to stop it', 'disease will continue to spread within the population']","['NamedIndividual', 'Inference', 'Inference']",,
Inference_453,['Uninteresting ideas'],['Uninteresting ideas'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Idea'],
Inference_228,['external agents that affect ac...'],['external agents that affect action'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Action'],
Inference_328,['possessing a possession'],['possessing a possession'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Possession'],
Inference_254,"['at end, possessor possesses ob...']","['possessor possesses object', 'at end']","['NamedIndividual', 'Inference', 'Inference']",['Frame_Gain_possession'],
Inference_325,['The actions of an entity that is...'],"[""The actions of an entity that is within the controlling_entity's scope_of_control can be controlled by that controlling_entity""]","['NamedIndividual', 'Inference', 'Inference']",['Frame_Control'],
Inference_372,['difference in location of entity...'],['difference in location of entity 1 and 2'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Spatial_relation'],
Inference_377,['not currently experiencing a state...'],['not currently experiencing a state value'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Experiencing_a_state'],
Inference_496,['nullSourceInference'],['nullSourceInference'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Physical_structure'],
Inference_367,['nullTargetEntailment'],['nullTargetEntailment'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Event'],
Inference_437,['Being sick'],['Being sick'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Health'],
Inference_256,['possessor has possession'],['possessor has possession'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Possession'],
Inference_478,"[""Seer's ability to see""]","[""Seer's ability to see""]","['NamedIndividual', 'Inference', 'Inference']",['Frame_Seeing'],
Inference_174,['A vehicle is a means for reaching...'],['A vehicle is a means for reaching destinations.'],"['NamedIndividual', 'Inference', 'Inference']",,
Inference_51,"['At some point, objects are attached...']","['objects are attached to one another (see inferences associated with attachment).  At a later point', 'this relation changes', 'possibly due to an external cause', 'profiled state', ""or to the weakening the 'bond' between the objects. In the final"", 'the two objects are separated from one another (therefore', 'attachment inferences no longer hold).', 'At some point']","['NamedIndividual', 'Inference', 'Inference']",,
Inference_346,['Caging an animal prevents it from...'],['Caging an animal prevents it from destroying things'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Fierce_animal'],
Inference_285,['starting to experience a state'],['starting to experience a state'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Change_of_state'],
Inference_349,['Crime is destructive'],['Crime is destructive'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Crime'],
Inference_504,['motion towards lower end of verticality...'],['motion towards lower end of verticality scale'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Verticality'],
Inference_620,['Changing location'],['Changing location'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Touching'],
Inference_343,['Corrupt activities while they may...'],['Corrupt activities while they may not have immediately perceptible effect can yield large scale harmful effects over long period of time'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Corruption'],
Inference_537,['being immoral'],['being immoral'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Morality'],
Inference_591,['amount of effort it takes to perform...'],['amount of effort it takes to perform action'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Purposeful_action'],
Inference_237,['Choosing a particular alternative...'],['Choosing a particular alternative of several available alternatives'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Decision_making'],
Inference_105,['Alignment of motion x-schema stages...'],"['mover is at (series of) path locations; 3)  when motion ends', 'mover is at Source location; 2) as motion proceeds', 'Alignment of motion x-schema stages and Source_Path-Goal locations: 1) when motion begins', 'mover is at Goal location.']","['NamedIndividual', 'Inference', 'Inference']",,
Inference_324,['An entity located within the proximal...'],['An entity located within the proximal region is proximal to the center (and therefore is likely to be accessible from the center)'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Bounded_region'],
Inference_122,"[""A plant's outward appearance of...""]","[""A plant's outward appearance of health is a reflection of its inner state of health.""]","['NamedIndividual', 'Inference', 'Inference']",,
Inference_625,['social problems lead to loss of...'],['social problems lead to loss of function'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Society'],
Inference_113,['The structure of an organization...'],['The structure of an organization persists even though actual members change over the course of time.'],"['NamedIndividual', 'Inference', 'Inference']",,
Inference_15,['The health status of the organism...'],['The health status of the organism is affected by various external factors; some have a negative effect and some have a positive effect.'],"['NamedIndividual', 'Inference', 'Inference']",,
Inference_438,['Appetite for food'],['Appetite for food'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Food'],
Inference_178,"['When a vehicle is moving, its contents...']","['and/or freight) are also moving at the same speed and in the same direction.', 'its contents (driver', 'passengers', 'When a vehicle is moving']","['Inference', 'NamedIndividual', 'Inference']",,
Inference_296,['acquiring a possession'],['acquiring a possession'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Possession_change'],
Inference_483,['Gaining knowledge'],['Gaining knowledge'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Knowing'],
Inference_498,['nullSourceInference'],['nullSourceInference'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Plants'],
Inference_545,['increases in quantity'],['increases in quantity'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Quantity'],
Inference_321,['Being unconscious (asleep)'],['Being unconscious (asleep)'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Consciousness'],
Inference_33,['Children are not capable of taking...'],['Children are not capable of taking care of themselves without the help of a childcare provider.'],"['NamedIndividual', 'Inference', 'Inference']",,
Inference_143,['continuity -- each intermediate...'],['continuity -- each intermediate value is adjacent to a lower value and a higher value'],"['NamedIndividual', 'Inference', 'Inference']",,
Inference_373,['nullTargetEntailment'],['nullTargetEntailment'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Experiencing_a_state'],
Inference_41,['Motion of contents is dependent...'],"['so do contents and if container is stationary so are contents.', 'Motion of contents is dependent on motion of container.  If container moves']","['NamedIndividual', 'Inference', 'Inference']",,
Inference_249,"[""an anger experiencer's angry_action...""]","[""an anger experiencer's angry_action can cause harm to other_people""]","['Inference', 'NamedIndividual', 'Inference']",['Frame_Anger'],
Inference_370,['co-location of entity_1 and en...'],['co-location of entity_1 and entity_2'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Spatial_relation'],
Inference_575,['nullTargetEntailment'],['nullTargetEntailment'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Power'],
Inference_49,['If a dangerous entity/situation...'],"['If a dangerous entity/situation is present', 'the endangered_entity may come to harm.']","['NamedIndividual', 'Inference', 'Inference']",,
Inference_332,['change in possession'],['change in possession'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Possession'],
Inference_696,['Upward motion along or high point...'],['Upward motion along or high point on a vertical scale'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Verticality'],
Inference_622,['There is an object to be searched...'],['There is an object to be searched for'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Searching'],
Inference_439,['Interest in ideas'],['Interest in ideas'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Idea'],
Inference_618,['motion along a path involves incremental...'],['motion along a path involves incremental changes in locations along a path'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Source_path_goal'],
Inference_219,['manner of self-propelled movem...'],['manner of self-propelled movement'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Self_propelled_motion'],
Inference_701,['Increasing well-being'],['Increasing well-being'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Well_being'],
Inference_664,['weight of burden is related to...'],['weight of burden is related to degree of (negative) effect; heavy burdens have more effect than lighter ones'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Burden'],
Inference_363,['Having no emotions'],['Having no emotions'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Emotional_intensity'],
Inference_241,['An anger experiencer is dangerous...'],['An anger experiencer is dangerous to other_people'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Anger'],
Inference_626,['the strength of the fibers'],['the strength of the fibers'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Textile'],
Inference_683,['Purposeful thinking'],['Purposeful thinking'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Thinking_about'],
Inference_137,['After B does something good for...'],"['and A is in debt with B', 'A has the opportunity to / is expected to repay the debt to B.', 'After B does something good for A']","['Inference', 'NamedIndividual', 'Inference']",,['normative-Western society']
Inference_213,['impediments to motion along a ...'],['impediments to motion along a path'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Motion_along_a_path'],
Inference_257,['state/attribute value is associated...'],['state/attribute value is associated with entity'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Attribute'],
Inference_540,['Being low'],['Being low'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Upright_posture'],
Inference_691,['caused change in intensity'],['caused change in intensity'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Trust_relationship'],
Inference_350,['barriers on path can prevent motion...'],['barriers on path can prevent motion along that path to goal'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Motion_impediments'],
Inference_42,['container boundary (may) prevent...'],['container boundary (may) prevent motion of contents from interior to exterior.  Presence of (open) portal may allow motion across boundary.'],"['NamedIndividual', 'Inference', 'Inference']",,
Inference_167,['Truster allows Trusted power to...'],['Truster allows Trusted power to potentially harm Truster.'],"['Inference', 'NamedIndividual', 'Inference']",,
Inference_354,['High-stakes betting'],['High-stakes betting'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Gambling'],
Inference_623,['There is knowledge to be sough...'],['There is knowledge to be sought'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Knowing'],
Inference_340,['Low point on a vertical scale'],['Low point on a vertical scale'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Verticality'],
Inference_8,"['When immoral_citizens cause social_problems,...']","['honest_citizens expect authorities to direct public_officials in the enactment of social_programs to prevent spread_of_problem and result in solving_problem.', 'When immoral_citizens cause social_problems']","['Inference', 'NamedIndividual', 'Inference']",,
Inference_488,['Seeing from a vantage point'],['Seeing from a vantage point'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Seeing'],
Inference_163,"['At final stage, recipient has object...']","['At final stage', 'recipient has object and transferor does not']","['Inference', 'NamedIndividual', 'Inference']",,
Inference_119,['A plant starts off as a seed and...'],['A plant starts off as a seed and grows given the right conditions.'],"['NamedIndividual', 'Inference', 'Inference']",,
Inference_440,['Healthful food'],['Healthful food'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Food'],
Inference_160,['The strength/integrity of the textile...'],['The strength/integrity of the textile as a whole is dependent on the strength/integrity of the individual fibers.'],"['NamedIndividual', 'Inference', 'Inference']",,
Inference_146,['actor acts with objective of changing...'],['actor acts with objective of changing from initial_state to final_state'],"['NamedIndividual', 'Inference', 'Inference']",,
Inference_157,"['Sequential ordered location inferences,...']","['then trajector has been at source and been on path.', 'then trajector has been (but is no longer)at source; if trajector is at goal', 'Sequential ordered location inferences', 'e.g. if trajector is on path']","['NamedIndividual', 'Inference', 'Inference']",,
Inference_120,"['Color, shape, size, and extent...']","['size', 'Color', ""and extent of spread are indicative of a plant's success in growing and staying alive."", 'shape']","['Inference', 'NamedIndividual', 'Inference']",,
Inference_674,['Moving from one bounded region...'],['Moving from one bounded region in space to another.'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Motion'],
Inference_250,['The effect of increased fluid_heat_level...'],"['container_internal_pressure', 'The effect of increased fluid_heat_level is increased container_heat', 'and fluid_agitation']","['Inference', 'NamedIndividual', 'Inference']",['Frame_Heating_fluid'],
Inference_309,['Understanding'],['Understanding'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Communication'],
Inference_416,['passengers have desired goal l...'],['passengers have desired goal location(s)'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Vehicular_motion'],
Inference_371,['nullTargetEntailment'],['nullTargetEntailment'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Experiencing_a_state'],
Inference_290,['location can be changed by external...'],['location can be changed by external entity applying force'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Motion_along_a_path'],
Inference_546,['Building a building.'],['Building a building.'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Building'],
Inference_660,['Lower point(s) along a vertical...'],['Lower point(s) along a vertical scale'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Verticality'],
