name,label,hasInferentialContent,isInferenceOfFrame,hasInferenceType
Inference_707,['amount of meaning'],['amount of meaning'],['Frame_Word'],
Inference_639,['addressing a social problem should...'],"[""addressing a social problem should improve society's function""]",['Frame_Social_problems'],
Inference_305,['Success of communication'],['Success of communication'],['Frame_Communication'],
Inference_307,['Accepting ideas'],['Accepting ideas'],['Frame_Communication'],
Inference_565,['nullTargetEntailment'],['nullTargetEntailment'],['Frame_Resource_consumption'],
Inference_604,['nullSourceInference'],['nullSourceInference'],['Frame_Proximity'],
Inference_126,"['In primary physical experience,...']","['possession correlates with co-location of possessor and possessed object', 'the physical relation between Possessor and object indicates the status of the possession relation.  Holding and/or grasping (and', 'co-location with) the object indicate possession; not holding/grasping indicate lack of possession.  More generally', 'and lack of possession with lack of co-location (i.e. some distance between the two)', 'more generally', 'In primary physical experience']",,
Inference_441,['Good ideas'],['Good ideas'],['Frame_Idea'],
Inference_295,"[""state can be changed by 'self'...""]","[""state can be changed by 'self'/experiencer""]",['Frame_Change_of_state'],
Inference_642,['extent of affliction'],['extent of affliction'],['Frame_Physical_affliction'],
Inference_334,['gaining a possession'],['gaining a possession'],['Frame_Possession'],
Inference_645,['relations keep the members (and...'],['relations keep the members (and group as a whole) together'],['Frame_Social_group'],
Inference_580,['Cleansing'],['Cleansing'],['Frame_Cleanliness'],
Inference_139,"[""If the resource is 'consumed' when...""]","['then the amount of resource will decrease during use', ""If the resource is 'consumed' when it is used""]",,['change in  quantity']
Inference_93,['The cause_of_insanity causes the...'],"[""The cause_of_insanity causes the insane_person's agitation_level to increase.  If the agitation_level increases beyond the insane_person's agitation_limit"", 'they will exhibit insane_behavior.']",,
Inference_252,"['initially, possessor does not possess...']","['possessor does not possess object', 'initially']",['Frame_Gain_possession'],
Inference_317,['Success of communication'],['Success of communication'],['Frame_Communication'],
Inference_91,['unless measures are taken to stop...'],"['unless measures are taken to stop it', 'disease will continue to spread within the population']",,
Inference_453,['Uninteresting ideas'],['Uninteresting ideas'],['Frame_Idea'],
Inference_228,['external agents that affect ac...'],['external agents that affect action'],['Frame_Action'],
Inference_328,['possessing a possession'],['possessing a possession'],['Frame_Possession'],
Inference_254,"['at end, possessor possesses ob...']","['possessor possesses object', 'at end']",['Frame_Gain_possession'],
Inference_325,['The actions of an entity that is...'],"[""The actions of an entity that is within the controlling_entity's scope_of_control can be controlled by that controlling_entity""]",['Frame_Control'],
Inference_372,['difference in location of entity...'],['difference in location of entity 1 and 2'],['Frame_Spatial_relation'],
Inference_377,['not currently experiencing a state...'],['not currently experiencing a state value'],['Frame_Experiencing_a_state'],
Inference_496,['nullSourceInference'],['nullSourceInference'],['Frame_Physical_structure'],
Inference_367,['nullTargetEntailment'],['nullTargetEntailment'],['Frame_Event'],
Inference_437,['Being sick'],['Being sick'],['Frame_Health'],
Inference_256,['possessor has possession'],['possessor has possession'],['Frame_Possession'],
Inference_478,"[""Seer's ability to see""]","[""Seer's ability to see""]",['Frame_Seeing'],
Inference_174,['A vehicle is a means for reaching...'],['A vehicle is a means for reaching destinations.'],,
Inference_51,"['At some point, objects are attached...']","['objects are attached to one another (see inferences associated with attachment).  At a later point', 'this relation changes', 'possibly due to an external cause', 'profiled state', ""or to the weakening the 'bond' between the objects. In the final"", 'the two objects are separated from one another (therefore', 'attachment inferences no longer hold).', 'At some point']",,
Inference_346,['Caging an animal prevents it from...'],['Caging an animal prevents it from destroying things'],['Frame_Fierce_animal'],
Inference_285,['starting to experience a state'],['starting to experience a state'],['Frame_Change_of_state'],
Inference_349,['Crime is destructive'],['Crime is destructive'],['Frame_Crime'],
Inference_504,['motion towards lower end of verticality...'],['motion towards lower end of verticality scale'],['Frame_Verticality'],
Inference_620,['Changing location'],['Changing location'],['Frame_Touching'],
Inference_343,['Corrupt activities while they may...'],['Corrupt activities while they may not have immediately perceptible effect can yield large scale harmful effects over long period of time'],['Frame_Corruption'],
Inference_537,['being immoral'],['being immoral'],['Frame_Morality'],
Inference_591,['amount of effort it takes to perform...'],['amount of effort it takes to perform action'],['Frame_Purposeful_action'],
Inference_237,['Choosing a particular alternative...'],['Choosing a particular alternative of several available alternatives'],['Frame_Decision_making'],
Inference_105,['Alignment of motion x-schema stages...'],"['mover is at (series of) path locations; 3)  when motion ends', 'mover is at Source location; 2) as motion proceeds', 'Alignment of motion x-schema stages and Source_Path-Goal locations: 1) when motion begins', 'mover is at Goal location.']",,
Inference_324,['An entity located within the proximal...'],['An entity located within the proximal region is proximal to the center (and therefore is likely to be accessible from the center)'],['Frame_Bounded_region'],
Inference_122,"[""A plant's outward appearance of...""]","[""A plant's outward appearance of health is a reflection of its inner state of health.""]",,
Inference_625,['social problems lead to loss of...'],['social problems lead to loss of function'],['Frame_Society'],
Inference_113,['The structure of an organization...'],['The structure of an organization persists even though actual members change over the course of time.'],,
Inference_15,['The health status of the organism...'],['The health status of the organism is affected by various external factors; some have a negative effect and some have a positive effect.'],,
Inference_438,['Appetite for food'],['Appetite for food'],['Frame_Food'],
Inference_178,"['When a vehicle is moving, its contents...']","['and/or freight) are also moving at the same speed and in the same direction.', 'its contents (driver', 'passengers', 'When a vehicle is moving']",,
Inference_296,['acquiring a possession'],['acquiring a possession'],['Frame_Possession_change'],
Inference_483,['Gaining knowledge'],['Gaining knowledge'],['Frame_Knowing'],
Inference_498,['nullSourceInference'],['nullSourceInference'],['Frame_Plants'],
Inference_545,['increases in quantity'],['increases in quantity'],['Frame_Quantity'],
Inference_321,['Being unconscious (asleep)'],['Being unconscious (asleep)'],['Frame_Consciousness'],
Inference_33,['Children are not capable of taking...'],['Children are not capable of taking care of themselves without the help of a childcare provider.'],,
Inference_143,['continuity -- each intermediate...'],['continuity -- each intermediate value is adjacent to a lower value and a higher value'],,
Inference_373,['nullTargetEntailment'],['nullTargetEntailment'],['Frame_Experiencing_a_state'],
Inference_41,['Motion of contents is dependent...'],"['so do contents and if container is stationary so are contents.', 'Motion of contents is dependent on motion of container.  If container moves']",,
Inference_249,"[""an anger experiencer's angry_action...""]","[""an anger experiencer's angry_action can cause harm to other_people""]",['Frame_Anger'],
Inference_370,['co-location of entity_1 and en...'],['co-location of entity_1 and entity_2'],['Frame_Spatial_relation'],
Inference_575,['nullTargetEntailment'],['nullTargetEntailment'],['Frame_Power'],
Inference_49,['If a dangerous entity/situation...'],"['If a dangerous entity/situation is present', 'the endangered_entity may come to harm.']",,
Inference_332,['change in possession'],['change in possession'],['Frame_Possession'],
Inference_696,['Upward motion along or high point...'],['Upward motion along or high point on a vertical scale'],['Frame_Verticality'],
Inference_622,['There is an object to be searched...'],['There is an object to be searched for'],['Frame_Searching'],
Inference_439,['Interest in ideas'],['Interest in ideas'],['Frame_Idea'],
Inference_618,['motion along a path involves incremental...'],['motion along a path involves incremental changes in locations along a path'],['Frame_Source_path_goal'],
Inference_219,['manner of self-propelled movem...'],['manner of self-propelled movement'],['Frame_Self_propelled_motion'],
Inference_701,['Increasing well-being'],['Increasing well-being'],['Frame_Well_being'],
Inference_664,['weight of burden is related to...'],['weight of burden is related to degree of (negative) effect; heavy burdens have more effect than lighter ones'],['Frame_Burden'],
Inference_363,['Having no emotions'],['Having no emotions'],['Frame_Emotional_intensity'],
Inference_241,['An anger experiencer is dangerous...'],['An anger experiencer is dangerous to other_people'],['Frame_Anger'],
Inference_626,['the strength of the fibers'],['the strength of the fibers'],['Frame_Textile'],
Inference_683,['Purposeful thinking'],['Purposeful thinking'],['Frame_Thinking_about'],
Inference_137,['After B does something good for...'],"['and A is in debt with B', 'A has the opportunity to / is expected to repay the debt to B.', 'After B does something good for A']",,['normative-Western society']
Inference_213,['impediments to motion along a ...'],['impediments to motion along a path'],['Frame_Motion_along_a_path'],
Inference_257,['state/attribute value is associated...'],['state/attribute value is associated with entity'],['Frame_Attribute'],
Inference_540,['Being low'],['Being low'],['Frame_Upright_posture'],
Inference_691,['caused change in intensity'],['caused change in intensity'],['Frame_Trust_relationship'],
Inference_350,['barriers on path can prevent motion...'],['barriers on path can prevent motion along that path to goal'],['Frame_Motion_impediments'],
Inference_42,['container boundary (may) prevent...'],['container boundary (may) prevent motion of contents from interior to exterior.  Presence of (open) portal may allow motion across boundary.'],,
Inference_167,['Truster allows Trusted power to...'],['Truster allows Trusted power to potentially harm Truster.'],,
Inference_354,['High-stakes betting'],['High-stakes betting'],['Frame_Gambling'],
Inference_623,['There is knowledge to be sough...'],['There is knowledge to be sought'],['Frame_Knowing'],
Inference_340,['Low point on a vertical scale'],['Low point on a vertical scale'],['Frame_Verticality'],
Inference_8,"['When immoral_citizens cause social_problems,...']","['honest_citizens expect authorities to direct public_officials in the enactment of social_programs to prevent spread_of_problem and result in solving_problem.', 'When immoral_citizens cause social_problems']",,
Inference_488,['Seeing from a vantage point'],['Seeing from a vantage point'],['Frame_Seeing'],
Inference_163,"['At final stage, recipient has object...']","['At final stage', 'recipient has object and transferor does not']",,
Inference_119,['A plant starts off as a seed and...'],['A plant starts off as a seed and grows given the right conditions.'],,
Inference_440,['Healthful food'],['Healthful food'],['Frame_Food'],
Inference_160,['The strength/integrity of the textile...'],['The strength/integrity of the textile as a whole is dependent on the strength/integrity of the individual fibers.'],,
Inference_146,['actor acts with objective of changing...'],['actor acts with objective of changing from initial_state to final_state'],,
Inference_157,"['Sequential ordered location inferences,...']","['then trajector has been at source and been on path.', 'then trajector has been (but is no longer)at source; if trajector is at goal', 'Sequential ordered location inferences', 'e.g. if trajector is on path']",,
Inference_120,"['Color, shape, size, and extent...']","['size', 'Color', ""and extent of spread are indicative of a plant's success in growing and staying alive."", 'shape']",,
Inference_674,['Moving from one bounded region...'],['Moving from one bounded region in space to another.'],['Frame_Motion'],
Inference_250,['The effect of increased fluid_heat_level...'],"['container_internal_pressure', 'The effect of increased fluid_heat_level is increased container_heat', 'and fluid_agitation']",['Frame_Heating_fluid'],
Inference_309,['Understanding'],['Understanding'],['Frame_Communication'],
Inference_416,['passengers have desired goal l...'],['passengers have desired goal location(s)'],['Frame_Vehicular_motion'],
Inference_371,['nullTargetEntailment'],['nullTargetEntailment'],['Frame_Experiencing_a_state'],
Inference_290,['location can be changed by external...'],['location can be changed by external entity applying force'],['Frame_Motion_along_a_path'],
Inference_546,['Building a building.'],['Building a building.'],['Frame_Building'],
Inference_660,['Lower point(s) along a vertical...'],['Lower point(s) along a vertical scale'],['Frame_Verticality'],
Inference_140,['If the amount of the resource available...'],"['and there is a limit as to the total amount of what can be accomplished (unless the resource is replenished)', 'If the amount of the resource available to the user is finite', ""then the amount of the resource determines the amount of 'work' it can be used for""]",,"['boundedness', 'paired scales']"
Inference_549,['Destroying a nation.'],['Destroying a nation.'],['Frame_Nation'],
Inference_155,['Shepherd is responsible for leading...'],"[""making decisions that affects sheep's well-being; sheep do what shepherd wants them to."", 'Shepherd is responsible for leading sheep']",,
Inference_293,['Prevented change of state'],['Prevented change of state'],['Frame_Change_of_state'],
Inference_103,['Removing a motion impediment removes...'],"[""Removing a motion impediment removes the negative effect on mover's motion.""]",,['causal']
Inference_552,['Putting together an object'],['Putting together an object'],['Frame_Complex_physical_object'],
Inference_640,['curing affliction restores person...'],['curing affliction restores person to health'],['Frame_Physical_affliction'],
Inference_72,['The amount of force transferred...'],"[""The amount of force transferred is correlated with 'force-dynamic properties' of the force_originator"", ""e.g. a person's strength and the amount of effort he exerts.""]",,['force-dynamic']
Inference_376,['being outside a bounded region...'],['being outside a bounded region (at exterior)'],['Frame_Being_at_a_location'],
Inference_581,['Purifying'],['Purifying'],['Frame_Purity'],
Inference_198,['Different means of achieving a...'],['Different means of achieving a purpose'],['Frame_Purposeful_action'],
Inference_613,['A relationship encountering difficulties...'],['A relationship encountering difficulties involves participants that are emotionally hurt'],['Frame_Romantic_relationship'],
Inference_471,['An interesting idea'],['An interesting idea'],['Frame_Idea'],
Inference_480,['Searching'],['Searching'],['Frame_Seeing'],
Inference_30,['The transition_state_value is different...'],['The transition_state_value is different than the initial_state_value'],,['ordered change']
Inference_162,"['At initial stage, transferor has...']","['transferor has object and recipient does not.', 'At initial stage']",,
Inference_169,['Truster could transfer valuable...'],"['Truster could transfer valuable stuff to Trusted (access to self', ""access to one's own possessions).""]",,
Inference_204,['acquired ideas'],['acquired ideas'],['Frame_Thinking_about'],
Inference_52,['Discoverer becomes aware of discovered...'],['Discoverer becomes aware of discovered thing.'],,
Inference_28,['The occurrence of the cause precedes...'],['The occurrence of the cause precedes or accompanies the change of state'],,
Inference_659,['An increase in status'],['An increase in status'],['Frame_Status'],
Inference_82,['The governing actions may or may...'],['The governing actions may or may not lead to outcomes that affect the process of change of the jurisdiction according to the objective.'],,
Inference_609,['A relationship encountering difficulties...'],['A relationship encountering difficulties is prevented from proceeding forward as a consequence of encountering relationship difficulties.'],['Frame_Romantic_relationship'],
Inference_36,['Clean things do not have dirt or...'],"['Clean things do not have dirt or other impurities in', 'and/or around them. (i.e. they are not dirty)', 'on']",,
Inference_98,['People are naturally more powerful...'],['People are naturally more powerful than animals and plants and natural objects.'],,
Inference_17,['A boat steered by a captain stays...'],['A boat steered by a captain stays on course and moves forward.'],,
Inference_503,['Failing to lead a nation'],['Failing to lead a nation'],['Frame_State_leadership'],
Inference_510,['effortfulness of motion'],['effortfulness of motion'],['Frame_Self_propelled_motion'],
Inference_247,['An anger experiencer whose anger_level...'],['An anger experiencer whose anger_level is beyond their anger_limit will exhibit angry_action'],['Frame_Anger'],
Inference_218,['Ability to act'],['Ability to act'],['Frame_Action'],
Inference_547,['Creating a nation.'],['Creating a nation.'],['Frame_Nation'],
Inference_472,['Onset of seeing; coming into s...'],['Onset of seeing; coming into sight'],['Frame_Seeing'],
Inference_221,['stage of movement'],['stage of movement'],['Frame_Self_propelled_motion'],
Inference_313,['acquiring ideas'],['acquiring ideas'],['Frame_Communication'],
Inference_539,['Being moral'],['Being moral'],['Frame_Morality'],
Inference_356,['Only one side can win the war'],['Only one side can win the war'],['Frame_War'],
Inference_651,['the degree to which a particular...'],['the degree to which a particular state is relevant to a given state_holder can differ'],['Frame_State'],
Inference_677,['Thinking about a topic'],['Thinking about a topic'],['Frame_Thinking_about'],
Inference_292,['Prevented change of location'],['Prevented change of location'],['Frame_Motion_along_a_path'],
Inference_422,['If shepherd successfully performs...'],"['sheep will flourish', 'If shepherd successfully performs actions']",['Frame_Shepherding'],
Inference_128,['The proximal and distal regions...'],['The proximal and distal regions are defined in terms of relative proximity to the center.  The boundary is the furthest extent of what is considered proximal to the center.'],,
Inference_205,"[""the trajector's location (profiled_region)...""]","[""the trajector's location (profiled_region) is at/in the landmark""]",['Frame_Being_at_a_location'],
Inference_577,['nullTargetEntailment'],['nullTargetEntailment'],['Frame_Power'],
Inference_497,['nullTargetEntailment'],['nullTargetEntailment'],['Frame_Law'],
Inference_259,['change in value of state/attri...'],['change in value of state/attribute'],['Frame_Attribute'],
Inference_574,['nullSourceInference'],['nullSourceInference'],['Frame_Possession'],
Inference_449,['Preparing ideas to be understo...'],['Preparing ideas to be understood'],['Frame_Idea'],
Inference_46,['If the controlling_entity does...'],"['he may not be able to bring about the situation he desires.', 'If the controlling_entity does not have a sufficient degree of control']",,
Inference_700,['Increasing wealth (gain)'],['Increasing wealth (gain)'],['Frame_Wealth'],
Inference_435,['Being healthy'],['Being healthy'],['Frame_Health'],
Inference_507,['decreases in quantity'],['decreases in quantity'],['Frame_Quantity'],
Inference_611,['A relationship encountering difficulties...'],['A relationship encountering difficulties is not necessarily a relationship that is over'],['Frame_Romantic_relationship'],
Inference_629,['the strength/integrity of the social...'],['the strength/integrity of the social group as a whole depends on the strength/integrity of the relations between social members'],['Frame_Social_group'],
Inference_520,['bodily processes'],['bodily processes'],['Frame_Bodily_functioning'],
Inference_29,['The initial_state precedes the...'],['The initial_state precedes the final state.  The transition occurs after the initial_state and before the final state.'],,['x-schema stages']
Inference_655,['future states of nation'],['future states of nation'],['Frame_Nation'],
Inference_229,['presence/absence of conditions...'],['presence/absence of conditions that affect motion'],['Frame_Self_propelled_motion'],
Inference_508,['Sequence of motions towards a destination...'],['Sequence of motions towards a destination in a journey.'],['Frame_Journey'],
Inference_458,['Taking apart complex objects'],['Taking apart complex objects'],['Frame_Object'],
Inference_684,['Objects'],['Objects'],['Frame_Object_manipulation'],
Inference_410,['Children are not capable of taking...'],['Children are not capable of taking care of themselves without the help of a childcare provider.'],['Frame_Child_care'],
Inference_518,['products of the body'],['products of the body'],['Frame_Bodily_functioning'],
Inference_587,['lack of purpose'],['lack of purpose'],['Frame_Purposeful_action'],
Inference_533,['being moral'],['being moral'],['Frame_Morality'],
Inference_388,['lack of restraints makes it easier...'],['lack of restraints makes it easier for mover to move'],['Frame_Motion_impediments'],
Inference_553,['Putting together a nation'],['Putting together a nation'],['Frame_Nation'],
Inference_344,"['as disease spreads throughout body,...']","['person becomes sicker', 'as disease spreads throughout body']",['Frame_Disease'],
Inference_401,['change in government functional....'],['change in government functional. status'],['Frame_Government_institution'],
Inference_649,['societies experience problems ...'],['societies experience problems functioning'],['Frame_Society'],
Inference_679,['Being able to think about different...'],['Being able to think about different things'],['Frame_Thinking_about'],
Inference_227,['external agents that affect mo...'],['external agents that affect motion'],['Frame_Self_propelled_motion'],
Inference_706,['amount of contents'],['amount of contents'],['Frame_Containing'],
Inference_316,['Responsiveness of addressee to...'],['Responsiveness of addressee to shown thing'],['Frame_Cause_to_see'],
Inference_106,['A single mover can only move along...'],"['A single mover can only move along one path at a time.  Therefore', 'motion along a given path means the mover is not following other alternative paths.']",,
Inference_567,['nullTargetEntailment'],['nullTargetEntailment'],['Frame_Positivity_scale'],
Inference_102,['Causing a motion impediment to...'],"[""Causing a motion impediment to be present (indirectly) causes a negative effect on mover's motion.""]",,['causal']
Inference_687,['increase in relationship inten...'],['increase in relationship intensity'],['Frame_Trust_relationship'],
Inference_230,['impediments to action/freedom to...'],['impediments to action/freedom to act'],['Frame_Action'],
Inference_582,['distance moved towards goal'],['distance moved towards goal'],['Frame_Self_propelled_motion_to_a_destination'],
Inference_559,['Effectively-governed country functions...'],['Effectively-governed country functions efficiently'],['Frame_Nation'],
Inference_266,['co-location with low entity'],['co-location with low entity'],['Frame_Being_at_a_Low_Location'],
Inference_646,"['when connections are eliminated,...']","['when connections are eliminated', 'items can move apart from each other']",['Frame_Physical_connection'],
Inference_206,['action is ongoing'],['action is ongoing'],['Frame_Action'],
Inference_124,"['""Possessing"" typically involves...']","['""Possessing"" typically involves the Possessor controlling and/or having access to the Possession. In primary physical experience', 'the possessor holds/grasps the possessed object.']",,
Inference_58,"['When emotion_level reaches an emotion_limit,...']","['When emotion_level reaches an emotion_limit', 'the mind is no longer able to control the emotion resulting in an emotional_action.']",,
Inference_427,['Governed people are not capable...'],['Governed people are not capable of making decisions or protecting themselves'],['Frame_Government'],
Inference_115,"['In order to move independently,...']","['broken or dissolved)', 'In order to move independently', 'the connection between the items must be eliminated (e.g. removed']",,
Inference_99,['Adults are naturally more powerful...'],['Adults are naturally more powerful than children.'],,
Inference_275,['willingness to transfer contro...'],['willingness to transfer control'],['Frame_Control'],
Inference_212,['expecting to perform an action...'],['expecting to perform an action in the future'],['Frame_Action'],
Inference_562,['Future locations of vehicle on...'],['Future locations of vehicle on path'],['Frame_Vehicle'],
Inference_267,['being impoverished'],['being impoverished'],['Frame_Impoverished'],
Inference_509,['A purposeful life.'],['A purposeful life.'],['Frame_Life'],
Inference_209,"[""'closeness' to landmark""]","[""'closeness' to landmark""]",['Frame_Being_at_a_location'],
Inference_417,['populace has desired (future) ...'],['populace has desired (future) states'],['Frame_Governing_action'],
Inference_432,['Being physically not upright or...'],['Being physically not upright or horizontal'],['Frame_Verticality'],
Inference_4,"['If barrier is present, accessor...']","['accessor cannot access the accessed_entity.', 'If barrier is present']",,
Inference_144,['Searching may involve all senses...'],['Searching may involve all senses and involves the intentional desire to come in close enough contact with something in order to be able to perceive (and possibly acquire) it.'],,
Inference_484,['Seeing from a short distance'],['Seeing from a short distance'],['Frame_Seeing'],
Inference_166,['Truster does not protect self against...'],['Truster does not protect self against Trusted.'],,
Inference_138,"['Once A repays B, A and B are e...']","['Once A repays B', 'A and B are even.']",,['normative-Western society']
Inference_83,['The leader and the follower move...'],['The leader and the follower move along the same path.'],,
Inference_369,['nullTargetEntailment'],['nullTargetEntailment'],['Frame_Experiencing_a_state'],
Inference_353,['difficulties can increase time...'],['difficulties can increase time and effort needed to accomplish objectives'],['Frame_Difficulties_in_action'],
Inference_298,['losing a possession'],['losing a possession'],['Frame_Possession_change'],
Inference_279,"['at final stage, experiencer experiences...']","['at final stage', 'experiencer experiences state']",['Frame_Change_of_state'],
Inference_494,['being poised to see'],['being poised to see'],['Frame_Seeing'],
Inference_76,['the force impinges on the entity...'],['the force impinges on the entity that moves'],,
Inference_104,['The presence of an impediment may...'],['The presence of an impediment may prevent mover from reaching goal.'],,
Inference_194,['the ease with which the Knower...'],['the ease with which the Knower can access knowledge affects how easily he can learn something'],['Frame_Knowing'],
Inference_236,['Choosing a particular path of several...'],['Choosing a particular path of several available paths'],['Frame_Source_path_goal'],
Inference_39,['Structural integrity of the complex...'],['Structural integrity of the complex object relies on the integrity of its parts as well as the integrity of the connections between the parts.'],,
Inference_352,['barriers on path can increase time...'],['barriers on path can increase time and effort needed to reach goal'],['Frame_Motion_impediments'],
Inference_47,['The range of situations that a...'],"['The range of situations that a controlling_entity can control', ""and the degree of control that he has over these situations is dependent at least in part on how much 'strength' that person has (especially in relation to the strength of the dependent_entity)""]",,['force-dynamic']
Inference_499,['nullTargetEntailment'],['nullTargetEntailment'],['Frame_Law'],
Inference_403,['nullTargetEntailment'],['nullTargetEntailment'],['Frame_Government_institution'],
Inference_457,['Coming up with complex ideas'],['Coming up with complex ideas'],['Frame_Idea'],
Inference_362,['Experiencing below average body...'],['Experiencing below average body temperature'],['Frame_Temperature'],
Inference_409,"[""Government's responsibility is...""]","['safety and well-being of the citizens', ""Government's responsibility is to ensure the health""]",['Frame_Government'],
Inference_196,['change in ability to know'],['change in ability to know'],['Frame_Knowing'],
Inference_260,['possess does not have possessi...'],['possess does not have possession'],['Frame_Possession'],
Inference_308,['Ability to accept objects'],['Ability to accept objects'],['Frame_Transfer_scenario'],
Inference_690,['caused change in structural_in...'],['caused change in structural_integrity'],['Frame_Building'],
Inference_460,['Structure of an object'],['Structure of an object'],['Frame_Object'],
Inference_226,['impediments to action/freedom to...'],['impediments to action/freedom to act'],['Frame_Action'],
Inference_462,['Taking apart objects'],['Taking apart objects'],['Frame_Object'],
Inference_521,['mental processes'],['mental processes'],['Frame_Cognizing'],
Inference_77,"['At initial stage, recipient does...']","['recipient possesses object', 'e.g. intiates a hold on object. \nAt final stage', 'At initial stage', 'recipient does not possess object. \nDuring ongoing stage', 'recipient acts so as to gain possession']",,
Inference_672,['Attacking foundation of a buil...'],['Attacking foundation of a building'],['Frame_Building'],
Inference_326,['an entity located in the distal_region...'],['an entity located in the distal_region is distal from the center (and therefore not likely to be accessible from the center)'],['Frame_Bounded_region'],
Inference_519,['products of the mind'],['products of the mind'],['Frame_Cognizing'],
Inference_358,['Experiencing intense body heat'],['Experiencing intense body heat'],['Frame_Temperature'],
Inference_404,['the ability of the machine to function...'],"['broken', 'well-oiled', 'the ability of the machine to function depends on the state of its physical structure (physical status)', 'e.g rusty']",['Frame_Machine'],
Inference_526,['state of being dry'],['state of being dry'],['Frame_Liquid'],
Inference_612,['A boat on the rocks contains passengers...'],['A boat on the rocks contains passengers who may be injured as a consequence of the boat colliding with rocks'],['Frame_Boat_on_the_rocks'],
Inference_95,['the experiencer has high positive...'],['the experiencer has high positive regard for the loved thing'],,"['affect', 'positive evaluation']"
Inference_391,['freedom to act and achieve obj...'],['freedom to act and achieve objectives'],['Frame_Freedom_of_action'],
Inference_211,['moving towards a landmark'],['moving towards a landmark'],['Frame_Being_at_a_location'],
Inference_6,"['For static situations, the main...']","[""the main axis of the trajector (which is typically a long thin thing) is perpendicular to the landmark's main axis."", 'For static situations']",,
Inference_197,['Different paths to reaching a ...'],['Different paths to reaching a destination'],['Frame_Motion_to_a_location'],
Inference_516,['a healthy/unhealthy body'],['a healthy/unhealthy body'],['Frame_Bodily_functioning'],
Inference_64,['When A and B enter into a financial...'],"['When A and B enter into a financial transaction', 'B is in debt to / owes A.', 'and B does not pay for the received goods or services']",,
Inference_133,['Actor initiates action in order...'],"['at which point actor terminates action.', 'Actor initiates action in order to bring about desired situation.  Actor continues action until desired situation has been accomplished']",,
Inference_584,['reaching a destination'],['reaching a destination'],['Frame_Self_propelled_motion_to_a_destination'],
Inference_633,['Societal actions can help reduce...'],['Societal actions can help reduce or eliminate social problems'],['Frame_Social_problems'],
Inference_281,"['at initial stage, experiencer experiences...']","['at initial stage', 'experiencer experiences state']",['Frame_Change_of_state'],
Inference_607,['Romantic relationship encountering...'],['Romantic relationship encountering difficulties'],['Frame_Romantic_relationship'],
Inference_397,"['""non-functional"" end of functi...']","['""non-functional"" end of functionality_scale']",['Frame_Functionality'],
Inference_627,['the strength of social relatio...'],['the strength of social relations'],['Frame_Social_group'],
Inference_573,['nullTargetEntailment'],['nullTargetEntailment'],['Frame_Power'],
Inference_200,['Lack of purpose'],['Lack of purpose'],['Frame_Purposeful_action'],
Inference_501,['nullTargetEntailment'],['nullTargetEntailment'],['Frame_Law'],
Inference_563,['Future states of the nation'],['Future states of the nation'],['Frame_Nation'],
Inference_465,['Being important or significant'],['Being important or significant'],['Frame_Importance'],
Inference_543,['increases in quantity'],['increases in quantity'],['Frame_Quantity'],
Inference_322,['nullSourceInference'],['nullSourceInference'],['Frame_Eating'],
Inference_423,['If government sucessfully performs...'],"['people will flourish', 'If government sucessfully performs action']",['Frame_Government'],
Inference_481,['Attempting to gain knowledge'],['Attempting to gain knowledge'],['Frame_Knowing'],
Inference_79,['The size of the gap is related...'],"['The size of the gap is related to how difficult it is to cross it (e.g. the wider and/or deeper the gap', 'the more difficult it is to cross it).']",,
Inference_175,['A vehicle is solid and can last...'],['A vehicle is solid and can last a long time.'],,
Inference_38,['All other competitors who are not...'],['All other competitors who are not the winner are the losers.'],,
Inference_390,['lack of barriers on path makes...'],['lack of barriers on path makes it possible for mover to move along path to goal'],['Frame_Motion_impediments'],
Inference_536,['being crooked'],['being crooked'],['Frame_Straightness'],
Inference_100,['Men are naturally more powerful...'],['Men are naturally more powerful than women.'],,
Inference_389,['freedom to act'],['freedom to act'],['Frame_Freedom_of_action'],
Inference_443,['Helpful ideas'],['Helpful ideas'],['Frame_Idea'],
Inference_654,['future locations along a path'],['future locations along a path'],['Frame_Bounded_region'],
Inference_347,['Controlling crime'],['Controlling crime'],['Frame_Crime'],
Inference_337,"[""end of controller's control""]","[""end of controller's control""]",['Frame_Control'],
Inference_463,['Analyzing ideas'],['Analyzing ideas'],['Frame_Idea'],
Inference_48,"[""Creator's objective is to bring...""]","[""Creator's objective is to bring the created_object into existence.  When action starts"", 'object exists.', 'when action is successfully completed', 'object does not exist']",,
Inference_429,['nullTargetEntailment'],['nullTargetEntailment'],['Frame_Greed'],
Inference_445,['Disturbing ideas'],['Disturbing ideas'],['Frame_Idea'],
Inference_588,['forward motion toward goal'],['forward motion toward goal'],['Frame_Self_propelled_motion_to_a_destination'],
Inference_7,['A society consists of immoral_citizens...'],['A society consists of immoral_citizens as well as honest_citizens.'],,
Inference_351,['difficulties can prevent completion...'],['difficulties can prevent completion of purposeful action'],['Frame_Difficulties_in_action'],
Inference_320,['Being physically not upright or...'],['Being physically not upright or horizontal'],['Frame_Verticality'],
Inference_600,['Higher point(s) along a vertical...'],['Higher point(s) along a vertical scale'],['Frame_Verticality'],
Inference_234,['attempts to address social problems...'],"['or get worse.', 'attempts to address social problems can have different outcomes: the problem may be eliminated', 'stay the same']",['Frame_Addressing_social_problems'],
