name,hasBoundRole1,hasBoundRole2,label
Binding_695,['Role_Frame_Person_person'],['Role_Frame_Sentient_entity_sentient_entity'],['Frame:Person.person=Sentient_entity.sentient_entity']
Binding_942,['Role_Frame_Trust_emotion_emotion'],['Role_Frame_Directed_emotion_emotion'],['Frame:Trust emotion.emotion=Directed emotion.emotion']
Binding_907,['Role_Frame_Taxes_tax'],['Role_Frame_Taxation_tax'],['Frame:Taxes.tax=Taxation.tax']
Binding_335,['Role_Frame_Fierce_animal_dangerous_body_part'],['Role_Frame_Part_whole_part_1'],['Frame:Fierce animal.dangerous_body_part=Part whole.part_1']
Binding_383,['Role_Frame_Forming_words_linguistic_expression'],['Role_Frame_Word_word_form'],['Frame:Forming words.linguistic_expression=Word.word_form']
Binding_660,['Role_Frame_Nation_nation_infrastructure'],['Role_Frame_Political_region_infrastructure'],['Frame:Nation.nation_infrastructure=Political region.infrastructure']
Binding_780,['Role_Frame_Race_race_x_schema'],['Role_Frame_Recreational_competition_activity_x_schema'],['Frame:Race.race x-schema=Recreational competition.activity_x-schema']
Binding_376,['Role_Frame_Forced_motion_direction'],['Role_Frame_Affected_motion_direction'],['Frame:Forced motion.direction=Affected motion.direction']
Binding_931,['Role_Frame_Transfer_scenario_transfer_recipient_process'],['Role_Frame_Transfer_scenario_Gain_possession'],['Frame:Transfer scenario.transfer_recipient_process=Gain_possession']
Binding_722,['Role_Frame_Physical_structure_functional_status'],['Role_Frame_Functionality_functional_status'],['Frame:Physical structure.functional_status=Functionality.functional_status']
Binding_99,['Role_Frame_Bodily_functioning_bodypart'],['Role_Frame_Part_whole_part'],['Frame:Bodily functioning.bodypart=Part_whole.part']
Binding_985,['Role_Frame_Visual_obstruction_seer'],['Role_Frame_Seeing_see_er'],['Frame:Visual obstruction.seer=Seeing.see-er']
Binding_597,['Role_Frame_Legislative_branch_legislative_action'],['Role_Frame_Legislative_action_legislative_action'],['Frame:Legislative branch.legislative_action=Legislative action.legislative_action']
Binding_903,['Role_Frame_Surface_object'],['Role_Frame_Bounded_entity_bounded_entity'],['Frame:Surface.object=Bounded entity.bounded_entity']
Binding_920,['Role_Frame_Touching_touched_thing'],['Role_Frame_Perception_perceived_thing'],['Frame:Touching.touched_thing=Perception.perceived_thing']
Binding_585,['Role_Frame_Legislation_enactment_bill_contents'],['Role_Frame_Government_decision_making_entity_under_consideration_characteristics'],['Frame:Legislation enactment.bill_contents=Government decision making.entity_under_consideration_characteristics']
Binding_217,['Role_Frame_Cut_object_of_cutting'],['Role_Frame_Force_application_acted_upon'],['Frame:Cut.object_of_cutting=Force-application.acted_upon']
Binding_684,['Role_Frame_Organization_members'],['Role_Frame_Social_group_members'],['Frame:Organization.members=Social group.members']
Binding_396,['Role_Frame_Game_prize'],['Role_Frame_Recreational_competition_prize'],['Frame:Game.prize=Recreational competition.prize']
Binding_577,['Role_Frame_Legislation_enactment_legislation_voting'],['Role_Frame_Voting_voting_event'],['Frame:Legislation enactment.legislation_voting=Voting.voting_event']
Binding_681,['Role_Frame_Object_propulsion_actor'],['Role_Frame_Object_manipulation_actor'],['Frame:Object propulsion.actor=Object manipulation.actor']
Binding_916,['Role_Frame_Theft_victim'],['Role_Frame_Crime_victim'],['Frame:Theft.victim=Crime.victim']
Binding_747,['Role_Frame_Possession_possession'],['Role_Frame_Relation_entity_2'],['Frame:Possession.possession=Relation.entity_2']
Binding_973,['Role_Frame_Vehicular_motion_vehicle'],['Role_Frame_Vehicle_vehicle'],['Frame:Vehicular motion.vehicle=Vehicle.vehicle']
Binding_613,['Role_Frame_Machine_machine_entity'],['Role_Frame_Control_dependent_entity'],['Frame:Machine.machine_entity=Control.dependent_entity']
Binding_738,['Role_Frame_Position_job_holder'],['Role_Frame_Power_power_holder'],['Frame:Position.job_holder=Power.power_holder']
Binding_292,['Role_Frame_Economic_status_financial_resources'],['Role_Frame_Possession_possessed'],['Frame:Economic status.financial_resources=Possession.possessed']
Binding_457,['Role_Frame_Government_institution_position_duties'],['Role_Frame_Institution_position_duties'],['Frame:Government institution.position_duties=Institution.position_duties']
Binding_367,['Role_Frame_Force_dynamic_interaction_forceful_process'],['Role_Frame_Complex_process_process1'],['Frame:Force-dynamic interaction.forceful_process=Complex process.process1']
Binding_119,['Role_Frame_Building_base_support'],['Role_Frame_Physical_structure_foundation_of_structure'],['Frame:Building.base_support=Physical structure.foundation_of_structure']
Binding_343,['Role_Frame_Firmness_firmness_scale'],['Role_Frame_Scale_parameter'],['Frame:Firmness.firmness_scale=Scale.parameter']
Binding_491,['Role_Frame_Harm_cause'],['Role_Frame_Causation_agent'],['Frame:Harm.cause=Causation.agent']
Binding_943,['Role_Frame_Trust_emotion_trusting_entity'],['Role_Frame_Trust_relationship_trusting_entity'],['Frame:Trust emotion.trusting_entity=Trust relationship.trusting_entity']
Binding_231,['Role_Frame_Decay_decay_cause'],['Role_Frame_Destructive_natural_process_cause_of_destruction'],['Frame:Decay.decay_cause=Destructive natural process.cause_of_destruction']
Binding_806,['Role_Frame_Restraints_affected_motion'],['Role_Frame_Motion_affecting_objects_affected_motion'],['Frame:Restraints.affected_motion=Motion-affecting objects.affected_motion']
Binding_1001,['Role_Frame_Voting_proposal'],['Role_Frame_Government_decision_making_introduction_of_entity_under_consideration'],['Frame:Voting.proposal=Government decision making.introduction_of_entity_under_consideration']
Binding_146,['Role_Frame_Child_care_child_ren_'],['Role_Frame_Work_scenario_affected_entity'],['Frame:Child care.child(ren)=Work scenario.affected_entity']
Binding_148,['Role_Frame_Child_care_childcare_provider'],['Role_Frame_Authority_authority_entity'],['Frame:Child care.childcare_provider=Authority.authority_entity']
Binding_32,['Role_Frame_Analysis_analyzer'],['Role_Frame_Reasoning_reasoner'],['Frame:Analysis.analyzer=Reasoning.reasoner']
Binding_418,['Role_Frame_Government_governed_activity'],['Role_Frame_Authority_governed_activity'],['Frame:Government.governed_activity=Authority.governed_activity']
Binding_611,['Role_Frame_Lust_experience_of_lust'],['Role_Frame_Emotion_emotion'],['Frame:Lust.experience_of_lust=Emotion.emotion']
Binding_228,['Role_Frame_Decay_decayed_entity'],['Role_Frame_Destructive_natural_process_destroyed_entity'],['Frame:Decay.decayed_entity=Destructive natural process.destroyed_entity']
Binding_821,['Role_Frame_Scale_intermediate_values'],['Role_Frame_State_possible_state_values'],['Frame:Scale.intermediate values=State.possible_state_values']
Binding_867,['Role_Frame_Silencing_speaker'],['Role_Frame_Speaking_speaker'],['Frame:Silencing.speaker=Speaking.speaker']
Binding_91,['Role_Frame_Belief_believer'],['Role_Frame_Cognizing_cognizer'],['Frame:Belief.believer=Cognizing.cognizer']
Binding_963,['Role_Frame_Vehicle_vehicle_passengers'],['Role_Frame_Containing_contents'],['Frame:Vehicle.vehicle_passengers=Containing.contents']
Binding_755,['Role_Frame_Poverty_impoverished_entity'],['Role_Frame_Economic_status_status_holder'],['Frame:Poverty.impoverished_entity=Economic status.status_holder']
Binding_406,['Role_Frame_Governing_action_governing_objectives'],['Role_Frame_Purposeful_action_objective'],['Frame:Governing action.governing_objectives=Purposeful action.objective']
Binding_510,['Role_Frame_Infectious_disease_disease'],['Role_Frame_Disease_disease'],['Frame:Infectious disease.disease=Disease.disease']
Binding_663,['Role_Frame_Non_translational_motion_motion_x_schema'],['Role_Frame_Motion_motion_x_schema'],['Frame:Non-translational motion.motion_x-schema=Motion.motion_x-schema']
Binding_83,['Role_Frame_Being_in_a_bounded_region_landmark'],['Role_Frame_Being_at_a_location_landmark'],['Frame:Being in a bounded region.landmark=Being at a location.landmark']
Binding_1006,['Role_Frame_War_War_side1'],['Role_Frame_Physical_competition_competition_competitor1'],['Frame:War.War.side1=Physical competition.competition_competitor1']
Binding_56,['Role_Frame_Attribute_attribute'],['Role_Frame_State_domain'],['Frame:Attribute.attribute=State.domain']
Binding_5,['Role_Frame_Access_to_an_object_accessed_object'],['Role_Frame_Object_object_entity'],['Frame:Access to an object.accessed_object=Object.object_entity']
Binding_605,['Role_Frame_Living_developmental_stages'],['Role_Frame_Life_cycle_developmental_stages'],['Frame:Living.developmental_stages=Life cycle.developmental_stages']
Binding_829,['Role_Frame_Self_defense_self_defender'],['Role_Frame_Attacking_attacked'],['Frame:Self-defense.self-defender=Attacking.attacked']
Binding_162,['Role_Frame_Competitive_sport_competitor1'],['Role_Frame_Recreational_competition_competitor_1'],['Frame:Competitive sport.competitor1=Recreational competition.competitor_1']
Binding_336,['Role_Frame_Fierce_animal_endangered_entity'],['Role_Frame_Danger_endangered_entity'],['Frame:Fierce animal.endangered_entity=Danger.endangered_entity']
Binding_500,['Role_Frame_Impediment_to_motion_impeded_entity'],['Role_Frame_Affected_motion_mover'],['Frame:Impediment to motion.impeded_entity=Affected motion.mover']
Binding_581,['Role_Frame_Legislation_enactment_bill_entacted_status'],['Role_Frame_Government_decision_making_entity_under_consideration_final_state'],['Frame:Legislation enactment.bill_entacted_status=Government decision making.entity_under_consideration_final_state']
Binding_21,['Role_Frame_Addressing_social_problems_affected_society'],['Role_Frame_Governing_action_governed'],['Frame:Addressing social problems.affected_society=Governing action.governed']
Binding_584,['Role_Frame_Legislation_enactment_legislator_enactment_actions'],['Role_Frame_Legislative_action_legislative_action'],['Frame:Legislation enactment.legislator_enactment_actions=Legislative action.legislative_action']
Binding_894,['Role_Frame_Strict_father_family_father'],['Role_Frame_Nuclear_family_father'],['Frame:Strict father family.father=Nuclear family.father']
Binding_29,['Role_Frame_Analysis_analytic_standard'],['Role_Frame_Evaluation_standard'],['Frame:Analysis.analytic_standard=Evaluation.standard']
Binding_797,['Role_Frame_Restore_to_life_life_liver'],['Role_Frame_Restore_to_life_Biological_entity'],['Frame:Restore to life.life_liver=Biological entity']
Binding_1016,['Role_Frame_Work_scenario_worker'],['Role_Frame_Employment_employee'],['Frame:Work scenario.worker=Employment.employee']
Binding_10,['Role_Frame_Action_action_x_schema'],['Role_Frame_Process_x_schema'],['Frame:Action.action_x-schema=Process.x-schema']
Binding_159,['Role_Frame_Cleanliness_clean_state_value'],['Role_Frame_State_profiled_state_value'],['Frame:Cleanliness.clean_state_value=State.profiled_state_value']
Binding_212,['Role_Frame_Crime_victim'],['Role_Frame_Social_problems_honest_citizens'],['Frame:Crime.victim=Social problems.honest_citizens']
Binding_711,['Role_Frame_Physical_competition_competitor1'],['Role_Frame_Competition_competition_competitor1'],['Frame:Physical competition.competitor1=Competition.competition_competitor1']
Binding_65,['Role_Frame_Authority_authorized_actions'],['Role_Frame_Control_controlling_process'],['Frame:Authority.authorized_actions=Control.controlling_process']
Binding_683,['Role_Frame_Organization_organization'],['Role_Frame_Social_group_group_whole'],['Frame:Organization.organization=Social group.group_whole']
Binding_782,['Role_Frame_Reasoning_premises'],['Role_Frame_Cognizing_topic'],['Frame:Reasoning.premises=Cognizing.topic']
Binding_692,['Role_Frame_Person_person'],['Role_Frame_Animate_entity_animate_entity'],['Frame:Person.person=Animate_entity.animate_entity']
Binding_1010,['Role_Frame_Wealth_wealthy_entity'],['Role_Frame_Economic_status_status_holder'],['Frame:Wealth.wealthy_entity=Economic status.status_holder']
Binding_868,['Role_Frame_Silencing_speaker'],['Role_Frame_Causation_affected'],['Frame:Silencing.speaker=Causation.affected']
Binding_593,['Role_Frame_Legislative_action_legislative_constraints_on_legislative'],['Role_Frame_Governing_action_constraints_on_governing_actions'],['Frame:Legislative action.legislative_constraints_on_legislative=Governing action.constraints_on_governing_actions']
Binding_382,['Role_Frame_Forming_words_linguistic_expression'],['Role_Frame_Speaking_message'],['Frame:Forming words.linguistic_expression=Speaking.message']
Binding_845,['Role_Frame_Self_propelled_motion_bodypart'],['Role_Frame_Purposeful_action_effector'],['Frame:Self propelled motion.bodypart=Purposeful action.effector']
Binding_69,['Role_Frame_Backward_motion_mover'],['Role_Frame_Motion_mover'],['Frame:Backward motion.mover=Motion.mover']
Binding_955,['Role_Frame_Trust_relationship_trust_standards'],['Role_Frame_Judgment_standards'],['Frame:Trust relationship.trust_standards=Judgment.standards']
Binding_694,['Role_Frame_Person_body_parts'],['Role_Frame_Animate_entity_specialized_parts'],['Frame:Person.body_parts=Animate_entity.specialized_parts']
Binding_662,['Role_Frame_Non_translational_motion_mover'],['Role_Frame_Motion_mover'],['Frame:Non-translational motion.mover=Motion.mover']
Binding_240,['Role_Frame_Difficulties_in_action_objective'],['Role_Frame_Purposeful_action_objective'],['Frame:Difficulties in action.objective=Purposeful action.objective']
Binding_499,['Role_Frame_Heating_fluid_fluid_heat_level'],['Role_Frame_Heat_level'],['Frame:Heating fluid.fluid_heat_level=Heat.level']
Binding_321,['Role_Frame_Experiencing_an_economic_status_status_holder'],['Role_Frame_Economic_status_status_holder'],['Frame:Experiencing an economic status.status_holder=Economic_status.status_holder']
Binding_591,['Role_Frame_Legislative_action_legislative_affected_jurisdiction'],['Role_Frame_Governing_action_affected_jurisdiction'],['Frame:Legislative action.legislative_affected_jurisdiction=Governing action.affected_jurisdiction']
Binding_854,['Role_Frame_Self_propelled_motion_to_a_destination_goal'],['Role_Frame_Purposeful_action_objective'],['Frame:Self propelled motion to a destination.goal=Purposeful action.objective']
Binding_481,['Role_Frame_Gun_rights_gun_ownership_domain'],['Role_Frame_Gun_rights_rights_domain'],['Frame:Gun rights.gun_ownership_domain=rights_domain']
Binding_906,['Role_Frame_Taxation_regulation'],['Role_Frame_Legislation_enactment_bill'],['Frame:Taxation.regulation=Legislation enactment.bill']
Binding_121,['Role_Frame_Building_subparts_building'],['Role_Frame_Part_whole_whole'],['Frame:Building subparts.building=Part whole.whole']
Binding_783,['Role_Frame_Recreational_competition_event'],['Role_Frame_Competition_competition_event'],['Frame:Recreational competition.event=Competition.competition_event']
Binding_236,['Role_Frame_Destructive_natural_process_destructive_process'],['Role_Frame_Destroying_cause'],['Frame:Destructive natural process.destructive_process=Destroying.cause']
Binding_203,['Role_Frame_Crafting_crafter'],['Role_Frame_Artifact_artifact_creator'],['Frame:Crafting.crafter=Artifact.artifact_creator']
Binding_28,['Role_Frame_Analysis_object_of_analysis'],['Role_Frame_Evaluation_evaluee'],['Frame:Analysis.object_of_analysis=Evaluation.evaluee']
Binding_317,['Role_Frame_Experiencing_a_state_state'],['Role_Frame_State_state_type'],['Frame:Experiencing a state.state=State.state_type']
Binding_334,['Role_Frame_Fierce_animal_dangerous_animal'],['Role_Frame_Part_whole_whole'],['Frame:Fierce animal.dangerous_animal=Part whole.whole']
Binding_993,['Role_Frame_Voting_outcome'],['Role_Frame_Government_decision_making_decison_making_outcome'],['Frame:Voting.outcome=Government decision making.decison_making_outcome']
Binding_362,['Role_Frame_Force_application_actor'],['Role_Frame_Action_actor'],['Frame:Force-application.actor=Action.actor']
Binding_887,['Role_Frame_Stability_stablity_entity'],['Role_Frame_Condition_of_physical_object_physical_object'],['Frame:Stability.stablity_entity=Condition of physical object.physical_object']
Binding_562,['Role_Frame_Law_law_governees'],['Role_Frame_Legality_actor'],['Frame:Law.law_governees=Legality.actor']
Binding_204,['Role_Frame_Create_object_creator'],['Role_Frame_Purposeful_action_actor'],['Frame:Create object.creator=Purposeful action.actor']
Binding_35,['Role_Frame_Anger_body'],['Role_Frame_Emotion_body'],['Frame:Anger.body=Emotion.body']
Binding_535,['Role_Frame_Judgment_standards'],['Role_Frame_Evaluation_standard'],['Frame:Judgment.standards=Evaluation.standard']
Binding_654,['Role_Frame_Motion_affecting_objects_affected_motion'],['Role_Frame_Motion_affecting_external_factors_affected_motion'],['Frame:Motion-affecting objects.affected_motion=Motion-affecting external factors.affected_motion']
Binding_318,['Role_Frame_Experiencing_a_state_experienced_state_value'],['Role_Frame_State_profiled_state_value'],['Frame:Experiencing a state.experienced_state_value=State.profiled_state_value']
Binding_72,['Role_Frame_Barrier_mover'],['Role_Frame_Motion_impediment_mover'],['Frame:Barrier.mover=Motion impediment.mover']
Binding_239,['Role_Frame_Difficulties_in_action_actor'],['Role_Frame_Purposeful_action_actor'],['Frame:Difficulties in action.actor=Purposeful action.actor']
Binding_976,['Role_Frame_Visual_evaluation_evaluator'],['Role_Frame_Evaluation_evaluator'],['Frame:Visual evaluation.evaluator=Evaluation.evaluator']
Binding_835,['Role_Frame_Self_initiated_state_change_self_initiated_change_x_schema'],['Role_Frame_Purposeful_action_action_x_schema'],['Frame:Self-initiated state change.self-initiated_change_x-schema=Purposeful action.action_x-schema']
Binding_92,['Role_Frame_Belief_belief'],['Role_Frame_Cognizing_topic'],['Frame:Belief.belief=Cognizing.topic']
Binding_525,['Role_Frame_Into_goal_interior'],['Role_Frame_Bounded_region_interior'],['Frame:Into.goal_interior=Bounded region.interior']
Binding_644,['Role_Frame_Motion_to_a_bounded_region_mover'],['Role_Frame_Motion_along_a_path_mover'],['Frame:Motion to a bounded region.mover=Motion along a path.mover']
Binding_486,['Role_Frame_Happiness_bodily_effect'],['Role_Frame_Emotion_bodily_effect'],['Frame:Happiness.bodily_effect=Emotion.bodily_effect']
Binding_944,['Role_Frame_Trust_emotion_trusted_entity'],['Role_Frame_Trust_relationship_trusted_entity'],['Frame:Trust emotion.trusted_entity=Trust relationship.trusted_entity']
Binding_634,['Role_Frame_Motion_along_a_path_goal'],['Role_Frame_Source_path_goal_goal'],['Frame:Motion along a path.goal=Source path goal.goal']
Binding_1004,['Role_Frame_Voting_rights_enfranchised_voter'],['Role_Frame_Voting_voter'],['Frame:Voting rights.enfranchised_voter=Voting.voter']
Binding_516,['Role_Frame_Injurious_gun_use_gun_user'],['Role_Frame_Harm_to_living_entity_agent'],['Frame:Injurious gun use.gun_user=Harm to living entity.agent']
Binding_59,['Role_Frame_Authority_domain_of_authority'],['Role_Frame_Control_scope_of_control'],['Frame:Authority.domain_of_authority=Control.scope_of_control']
Binding_607,['Role_Frame_Lose_possession_donor'],['Role_Frame_Possession_possessor'],['Frame:Lose possession.donor=Possession.possessor']
Binding_179,['Role_Frame_Confinement_bounds_of_confinement'],['Role_Frame_Barrier_barrier_object'],['Frame:Confinement.bounds_of_confinement=Barrier.barrier_object']
Binding_71,['Role_Frame_Barrier_barrier_object'],['Role_Frame_Motion_impediment_impediment'],['Frame:Barrier.barrier_object=Motion impediment.impediment']
Binding_199,['Role_Frame_Corruption_harmed_entity'],['Role_Frame_Crime_victim'],['Frame:Corruption.harmed_entity=Crime.victim']
Binding_214,['Role_Frame_Crime_criminal'],['Role_Frame_Legality_actor'],['Frame:Crime.criminal=Legality.actor']
Binding_62,['Role_Frame_Authority_governed_activity'],['Role_Frame_Control_dependent_process'],['Frame:Authority.governed_activity=Control.dependent_process']
Binding_834,['Role_Frame_Self_initiated_state_change_experiencer'],['Role_Frame_Purposeful_action_actor'],['Frame:Self-initiated state change.experiencer=Purposeful action.actor']
Binding_160,['Role_Frame_Cognizing_cognizer'],['Role_Frame_Person_person'],['Frame:Cognizing.cognizer=Person.person']
Binding_141,['Role_Frame_Caused_change_of_state_final_state'],['Role_Frame_Change_of_state_final_state'],['Frame:Caused change of state.final_state=Change of state.final_state']
Binding_615,['Role_Frame_Monetary_evaluation_resource'],['Role_Frame_Evaluation_evaluee'],['Frame:Monetary evaluation.resource=Evaluation.evaluee']
Binding_1008,['Role_Frame_Water_confinement_physical_entity'],['Role_Frame_Confinement_confined_entity'],['Frame:Water confinement.physical_entity=Confinement.confined_entity']
Binding_808,['Role_Frame_Robot_robot_entity'],['Role_Frame_Machine_machine_entity'],['Frame:Robot.robot_entity=Machine.machine_entity']
Binding_50,['Role_Frame_Animate_entity_body_weight'],['Role_Frame_Biological_entity_body_weight'],['Frame:Animate entity.body_weight=Biological entity.body_weight']
Binding_435,['Role_Frame_Government_decision_making_consideration'],['Role_Frame_Purposeful_action_action_x_schema'],['Frame:Government decision making.consideration=Purposeful action.action_x-schema.ongoing']
Binding_698,['Role_Frame_Person_objectives'],['Role_Frame_Purposeful_action_objective'],['Frame:Person.objectives=Purposeful action.objective']
Binding_326,['Role_Frame_Experiencing_an_economic_status_financial_resources'],['Role_Frame_Economic_status_financial_resources'],['Frame:Experiencing an economic status.financial_resources=Economic status.financial_resources']
Binding_470,['Role_Frame_Guided_motion_leader_motion_x_schema'],['Role_Frame_Affected_motion_motion_x_schema'],['Frame:Guided motion.leader_motion_x-schema=Affected motion.motion_x-schema']
Binding_691,['Role_Frame_Perception_faculty'],['Role_Frame_Animate_entity_specialized_parts'],['Frame:Perception.faculty=Animate_entity.specialized_parts']
Binding_116,['Role_Frame_Building_change_in_integrity'],['Role_Frame_Physical_structure_change_in_integrity'],['Frame:Building.change_in_integrity=Physical structure.change_in_integrity']
Binding_248,['Role_Frame_Disease_treatment_body'],['Role_Frame_Disease_patient'],['Frame:Disease treatment.body=Disease.patient']
Binding_341,['Role_Frame_Firm_firm_entity'],['Role_Frame_Firmness_firmness_entity'],['Frame:Firm.firm_entity=Firmness.firmness_entity']
Binding_482,['Role_Frame_Gun_rights_constitution'],['Role_Frame_Gun_rights_source_of_right'],['Frame:Gun rights.constitution=source_of_right']
Binding_74,['Role_Frame_Barrier_mover'],['Role_Frame_Motion_along_a_path_mover'],['Frame:Barrier.mover=Motion along a path.mover']
Binding_473,['Role_Frame_Guided_motion_follower_motion_x_schema'],['Role_Frame_Affected_motion_motion_x_schema'],['Frame:Guided motion.follower_motion_x-schema=Affected motion.motion_x-schema']
Binding_487,['Role_Frame_Happiness_body'],['Role_Frame_Emotion_body'],['Frame:Happiness.body=Emotion.body']
Binding_559,['Role_Frame_Knowing_knower'],['Role_Frame_Cognizing_cognizer'],['Frame:Knowing.knower=Cognizing.cognizer']
Binding_511,['Role_Frame_Infectious_disease_infected_individuals'],['Role_Frame_Disease_patient'],['Frame:Infectious disease.infected_individuals=Disease.patient']
Binding_369,['Role_Frame_Force_dynamic_interaction_second_process'],['Role_Frame_Complex_process_process2'],['Frame:Force-dynamic interaction.second_process=Complex process.process2']
Binding_460,['Role_Frame_Government_institution_functions'],['Role_Frame_Government_governing_actions'],['Frame:Government institution.functions=Government.governing_actions']
Binding_423,['Role_Frame_Government_decision_making_decision_maker'],['Role_Frame_Governing_action_governing_actor'],['Frame:Government decision making.decision_maker=Governing action.governing_actor']
Binding_793,['Role_Frame_Restaurant_patron'],['Role_Frame_Hosting_guest'],['Frame:Restaurant.patron=Hosting.guest']
Binding_1017,['Role_Frame_Work_scenario_employer'],['Role_Frame_Employment_employer'],['Frame:Work scenario.employer=Employment.employer']
Binding_211,['Role_Frame_Crime_criminal_activity'],['Role_Frame_Social_problems_problem'],['Frame:Crime.criminal_activity=Social problems.problem']
Binding_875,['Role_Frame_Social_group_membership_fee'],['Role_Frame_Payment_payment'],['Frame:Social group.membership_fee=Payment.payment']
Binding_842,['Role_Frame_Self_propelled_motion_self_mover'],['Role_Frame_mover_mover'],['Frame:Self propelled motion.self_mover=mover.mover']
Binding_299,['Role_Frame_Election_voting_event'],['Role_Frame_Voting_voting_event'],['Frame:Election.voting_event=Voting.voting_event']
Binding_645,['Role_Frame_Motion_to_a_bounded_region_motion_x_schema'],['Role_Frame_Motion_along_a_path_motion_x_schema'],['Frame:Motion to a bounded region.motion_x-schema=Motion along a path.motion_x-schema']
Binding_126,['Role_Frame_Causation_agent'],['Role_Frame_Complex_process_protagonist1'],['Frame:Causation.agent=Complex_process.protagonist1']
Binding_397,['Role_Frame_Game_outcome'],['Role_Frame_Recreational_competition_outcome'],['Frame:Game.outcome=Recreational competition.outcome']
Binding_529,['Role_Frame_Into_landmark'],['Role_Frame_Source_path_goal_landmark'],['Frame:Into.landmark=Source path goal.landmark']
Binding_38,['Role_Frame_Anger_anger_limit'],['Role_Frame_Emotion_emotion_limit'],['Frame:Anger.anger_limit=Emotion.emotion_limit']
Binding_128,['Role_Frame_Causation_cause'],['Role_Frame_Complex_process_process1'],['Frame:Causation.cause=Complex_process.process1']
Binding_836,['Role_Frame_Self_initiated_state_change_initial_state'],['Role_Frame_Change_of_state_initial_state'],['Frame:Self-initiated state change.initial_state=Change of state.initial_state']
Binding_441,['Role_Frame_Government_decision_making_entity_under_consideration_characteristics'],['Role_Frame_Evaluation_behavior'],['Frame:Government decision making.entity_under_consideration_characteristics=Evaluation.behavior']
Binding_828,['Role_Frame_Self_defense_self_defender'],['Role_Frame_Protecting_protected_thing'],['Frame:Self-defense.self-defender=Protecting.protected_thing']
Binding_633,['Role_Frame_Motion_along_a_path_path'],['Role_Frame_Source_path_goal_path'],['Frame:Motion along a path.path=Source path goal.path']
Binding_120,['Role_Frame_Building_subparts_room'],['Role_Frame_Part_whole_part'],['Frame:Building subparts.room=Part whole.part']
Binding_398,['Role_Frame_Game_playing_x_schema'],['Role_Frame_Recreational_competition_activity_x_schema'],['Frame:Game.playing x-schema=Recreational competition.activity_x-schema']
Binding_440,['Role_Frame_Government_decision_making_decision_maker'],['Role_Frame_Evaluation_evaluator'],['Frame:Government decision making.decision_maker=Evaluation.evaluator']
Binding_809,['Role_Frame_Robot_robot_entity'],['Role_Frame_Sentient_entity_sentient_entity'],['Frame:Robot.robot_entity=Sentient_entity.sentient_entity']
Binding_668,['Role_Frame_Nuclear_family_father'],['Role_Frame_Family_family_members'],['Frame:Nuclear family.father=Family.family_members']
Binding_869,['Role_Frame_Size_scalar_position'],['Role_Frame_Trajector_landmark_profiled_region'],['Frame:Size.scalar_position=Trajector landmark.profiled_region']
Binding_174,['Role_Frame_Complex_structure_structure_whole'],['Role_Frame_Part_whole_whole'],['Frame:Complex structure.structure_whole=Part whole.whole']
Binding_171,['Role_Frame_Complex_physical_object_shape'],['Role_Frame_Object_shape'],['Frame:Complex physical object.shape=Object.shape']
Binding_97,['Role_Frame_Biological_entity_body_weight'],['Role_Frame_Complex_physical_object_object_weight'],['Frame:Biological entity.body_weight=Complex physical object.object_weight']
Binding_107,['Role_Frame_Body_weight_body'],['Role_Frame_Bodily_functioning_body'],['Frame:Body weight.body=Bodily functioning.body']
Binding_245,['Role_Frame_Disease_disease'],['Role_Frame_Harm_to_living_entity_agent'],['Frame:Disease.disease=Harm to living entity.agent']
Binding_468,['Role_Frame_Group_group'],['Role_Frame_Plurality_plurality_entity'],['Frame:Group.group=Plurality.plurality_entity']
Binding_699,['Role_Frame_Physical_affliction_affliction'],['Role_Frame_Harm_to_living_entity_cause'],['Frame:Physical affliction.affliction=Harm to living entity.cause']
Binding_411,['Role_Frame_Governing_action_governing_actor'],['Role_Frame_Judgment_judged_party'],['Frame:Governing action.governing_actor=Judgment.judged_party']
Binding_815,['Role_Frame_Sadness_body'],['Role_Frame_Emotion_body'],['Frame:Sadness.body=Emotion.body']
Binding_865,['Role_Frame_Shepherding_shepherding'],['Role_Frame_Work_scenario_work_activity'],['Frame:Shepherding.shepherding=Work scenario.work_activity']
Binding_195,['Role_Frame_Control_control_relation'],['Role_Frame_Relation_relation'],['Frame:Control.control_relation=Relation.relation']
Binding_101,['Role_Frame_Body_body_whole'],['Role_Frame_Animate_entity_body'],['Frame:Body.body_whole=Animate entity.body']
Binding_600,['Role_Frame_Legislative_branch_legislative_action'],['Role_Frame_Government_insitution_functions'],['Frame:Legislative branch.legislative_action=Government insitution.functions']
Binding_536,['Role_Frame_Judgment_judgement_outcome'],['Role_Frame_Evaluation_evaluation'],['Frame:Judgment.judgement_outcome=Evaluation.evaluation']
Binding_297,['Role_Frame_Edge_edge_self'],['Role_Frame_Bounded_region_boundary'],['Frame:Edge.edge_self=Bounded region.boundary']
Binding_576,['Role_Frame_Legislation_enactment_legislation_enactment_outcome'],['Role_Frame_Government_decision_making_decison_making_outcome'],['Frame:Legislation enactment.legislation_enactment_outcome=Government decision making.decison_making_outcome']
Binding_735,['Role_Frame_Political_region_population'],['Role_Frame_Government_governed'],['Frame:Political region.population=Government.governed']
Binding_154,['Role_Frame_Citizen_evaluation_of_government_Evaluator'],['Role_Frame_Government_governed'],['Frame:Citizen evaluation of government.Evaluator=Government.governed']
